アメリカ合衆国,USA,アメリカ,America,米国,United States of America
ソビエト社会主義共和国連邦,ソビエト連邦,ソ連邦,ソ連
ヨーロッパ,Europe,欧州
ロサンゼルス,ロスアンジェルス,Los Angeles,ロス
北海道内,道内
国外,海外,外国,異国
東京都内,都内
ナザレ,Nazareth
ナジャフ,Najaf
ナッシュビル,ナッシュヴィル,Nashville
ナポリ,Napoli
ナント,Nantes
ニース,Nice
ニアメ,Niamey
ニカイア,ニカエア,ニケーア,Nicaea
ニュルンベルク,Nuremberg
ヌビア,Nubia
ネバ,Neva
ネバダ,ネヴァダ,Nevada
ハーグ,Haag
ハノーバー,ハノーヴァー,Hannover
ハバナ,Havana
ハラレ,Harare
ハレ,Halle
ハンブルク,Hamburg
バークレー,バークリー,Berkeley
バーリ,Bari
バイロイト,Bayreuth
バスラ,Basra
バタビア,バタヴィア,Batavia
バマコ,Bamako
バリ,Bali
バレッタ,Valletta
バンギ,Bangui
バンコク,バンコック,Bangkok
バンベルク,Bamberg
パルマ,Palma
パルマ,Parma
パロス,Palos
パンジャブ,Punjab
ビサウ,Bissau
ビザンチウム,Byzantium
ビハール,Bihar
ピサ,Pisa
フィウメ,Fiume
フエ,Hue
ブローニュ,ブーローニュ,Boulogne
ブジュンブラ,Bujumbura
ブラックアフリカ,ブラック・アフリカ,Black Africa
ブルゴス,Burgos
プエルトリコ,プエルト・リコ,Puerto Rico
プラーグ,Prague
ヘーグ,Hague
ヘラス,Hellas
ヘロン,Heron
ベルゲン,Bergen
ベルダン,ヴェルダン,Verdun
ベルン,Bern
ホエールズ,Whales
ボルガ,ヴォルガ,Volga
ボルゴグラード,ヴォルゴグラード,Volgograd
ボロブドゥール,Borobudur
ボン,Bonn
ポー,Pau
ポートオブスペイン,ポート・オブ・スペイン,Port of Spain
マカッサル,Makassar
マジャール,Magyar
マセル,Maseru
マッキンリー,McKinley
マナスル,Manaslu
マニラ,Manila
マラトン,Marathon
マラボ,Malabo
マレー,Malay
ミラノ,Milano
メコン,Mekong
メソアメリカ,Mesoamerica
メダン,Medan
メナド,Menado
メナム,Menam
モロニ,Moroni
ヤルタ,Yalta
ユタ,Utah
ラパス,ラ・パス,La Paz
ラグーザ,Ragusa
ラスベガス,ラスヴェガス,Las Vegas
ラバト,Rabat
ラブラドール,ラブラドル,Labrador
ランス,Reims
リーズ,Leeds
リガ,Riga
リマ,Lima
リヤド,Riyadh
リヨン,Lyon
リンツ,Linz
ルソン,Luzon
レイキャビーク,レイキャビク,レイキャヴィーク,レイキャヴィク,Reykjavík
レイテ,Leyte
レシフェ,Recife
レスボス,Lesbos
レナ,Lena
ロサリオ,Rosario
ロストフ,Rostov
ロゾー,Roseau
ロッソ,Rosso
ワルシャワ,Warszawa,ワルソー,Warsaw
