コピーライト,copyright,著作権
コンプライアンス,compliance,コンプラ,法令遵守,法令順守
罰則,ペナルティー,ペナルティ,penalty
罰金,違約金,ペナルティー,ペナルティ,penalty
不正競争防止法,不競法
児童ポルノ法,児ポ法
公共企業体等労働関係法,公労法
公職選挙法,公選法
労働基準法,労基法
労働者災害補償保険法,労災保険法,労災法
宅地建物取引業法,宅建業法
容器包装リサイクル法,容リ法
憲法改正,改憲
日本弁護士連合会,日弁連
日米安全保障条約,日米安保条約
特定商取引に関する法律,特定商取引法,特商法
私的独占の禁止及び公正取引の確保に関する法律,独占禁止法,独禁法
競争法,独占禁止法
知的財産権,知財権,知的所有権
破壊活動防止法,破防法
道路交通法,道交法
金融商品取引法,金商法
法律,法,ロー,law
クーリングオフ,クーリング・オフ,cooling-off
集団訴訟,クラスアクション,class action
セーフガード,safeguard
介護保険法,介保法
個人情報の保護に関する法律,個人情報保護法
一般職の職員の給与に関する法律,公務員給与法
国家公務員法,国公法
地方自治法,自治法
学校教育法,学教法
施行規則,施規
根拠法令,根拠法規
義務教育標準法,義務標準法
建築基準法,建基法
精神保健及び精神障害者福祉に関する法律,精神保健福祉法
消費生活協同組合法,生協法
特別措置法,特措法
特定住宅瑕疵担保責任の履行の確保等に関する法律,住宅瑕疵担保履行法
原子爆弾被爆者に対する援護に関する法律,原爆被爆者援護法,被爆者援護法
法律上,法的
癌対策基本法,がん対策基本法
パートタイム労働法,パート労働法
労働安全衛生法,安衛法
育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,育児介護休業法,介護休業法,育介法
家内労働法,家労法
過労死等防止対策推進法,過労死防止法
青少年の雇用の促進等に関する法律,青少年雇用促進法,若者雇用促進法,勤労青少年福祉法,勤青少福祉法
勤労者財産形成促進法,財形法
雇用対策法,雇対法
雇用保険法,雇保法
雇用の分野における男女の均等な機会及び待遇の確保等に関する法律,男女雇用機会均等法,雇用均等法
厚生年金保険法,厚保法
高年齢者雇用安定法,高年法,高齢法
高年齢者等の雇用の安定等に関する法律,高齢者法
最低賃金法,最賃法
産業活力の再生及び産業活動の革新に関する特別措置法,産活法
労働時間等の設定の改善に関する特別措置法,労働時間等設定改善法,時短促進法,時短法
次世代育成支援対策推進法,次世代法
出入国管理及び難民認定法,入国管理法,入管難民法,入管法,出管法
女性の職業生活における活躍の推進に関する法律,女性活躍推進法
障害者の雇用の促進等に関する法律,障害者雇用促進法,障害法
障害者雇用率,法定雇用率
職業安定法,職安法
職業能力開発促進法,能開法
中小企業退職金共済法,退職共済法
賃金の支払の確保等に関する法律,賃金支払確保法,賃確法
労働関係調整法,労調法
労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律,労働者派遣法
労働組合法,労組法
健康保険法,健保法
改正内容,改正点
法改正,法律改正
少額公債非課税制度,マル特
北米自由貿易協定,NAFTA,ナフタ
核拡散防止条約,NPT
包括的核実験禁止条約,CTBT
